Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
P62259,14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1 - [1433E_MOUSE],91.76%,3,30,33,1045,255,29.2,4.74
P61982,14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2 - [1433G_MOUSE],89.88%,1,20,31,629,247,28.3,4.89
Q6P1F6,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Mus musculus GN=Ppp2r2a PE=1 SV=1 - [2ABA_MOUSE],51.90%,2,15,20,75,447,51.7,6.2
P61222,ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=2 SV=1 - [ABCE1_MOUSE],52.25%,1,30,30,137,599,67.3,8.34
P62737,"Actin, aortic smooth muscle OS=Mus musculus GN=Acta2 PE=1 SV=1 - [ACTA_MOUSE]",62.86%,7,2,29,7123,377,42,5.39
P68134,"Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1 - [ACTS_MOUSE]",54.91%,4,3,30,7422,377,42,5.39
P61164,Alpha-centractin OS=Mus musculus GN=Actr1a PE=2 SV=1 - [ACTZ_MOUSE],63.30%,1,12,27,616,376,42.6,6.64
Q8CJG1,Protein argonaute-1 OS=Mus musculus GN=Ago1 PE=1 SV=2 - [AGO1_MOUSE],34.31%,3,12,24,93,857,97.2,9.16
P61967,AP-1 complex subunit sigma-1A OS=Mus musculus GN=Ap1s1 PE=1 SV=1 - [AP1S1_MOUSE],39.87%,4,4,5,29,158,18.7,5.73
Q3TIV9,AP-1 complex subunit sigma-2 OS=Mus musculus GN=Ap1s2 PE=2 SV=1 - [Q3TIV9_MOUSE],27.39%,3,1,4,20,157,18.6,5.47
P84091,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=1 SV=1 - [AP2M1_MOUSE],70.80%,1,1,34,391,435,49.6,9.54
P62743,AP-2 complex subunit sigma OS=Mus musculus GN=Ap2s1 PE=1 SV=1 - [AP2S1_MOUSE],38.03%,1,6,6,62,142,17,6.18
Q9DCR2,AP-3 complex subunit sigma-1 OS=Mus musculus GN=Ap3s1 PE=1 SV=2 - [AP3S1_MOUSE],37.82%,1,7,7,27,193,21.7,5.39
P61205,ADP-ribosylation factor 3 OS=Mus musculus GN=Arf3 PE=2 SV=2 - [ARF3_MOUSE],71.82%,4,4,18,328,181,20.6,7.43
P84084,ADP-ribosylation factor 5 OS=Mus musculus GN=Arf5 PE=1 SV=2 - [ARF5_MOUSE],84.44%,2,6,15,232,180,20.5,6.79
P62331,ADP-ribosylation factor 6 OS=Mus musculus GN=Arf6 PE=1 SV=2 - [ARF6_MOUSE],86.86%,2,18,19,353,175,20.1,8.95
P61208,ADP-ribosylation factor-like protein 4C OS=Mus musculus GN=Arl4c PE=2 SV=1 - [ARL4C_MOUSE],11.46%,1,2,2,3,192,21.5,9.09
Q9CQW2,ADP-ribosylation factor-like protein 8B OS=Mus musculus GN=Arl8b PE=2 SV=1 - [ARL8B_MOUSE],81.72%,1,5,14,90,186,21.5,8.43
P61161,Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1 - [ARP2_MOUSE],64.97%,1,32,33,993,394,44.7,6.74
P59999,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3 - [ARPC4_MOUSE],69.64%,2,14,14,287,168,19.7,8.43
Q9D5T0,ATPase family AAA domain-containing protein 1 OS=Mus musculus GN=Atad1 PE=1 SV=1 - [ATAD1_MOUSE],41.83%,1,12,12,31,361,40.7,6.9
Q9CQH7,Transcription factor BTF3 homolog 4 OS=Mus musculus GN=Btf3l4 PE=2 SV=1 - [BT3L4_MOUSE],50.00%,1,6,7,55,158,17.3,6.35
E0CX20,Protein BUD31 homolog OS=Mus musculus GN=Bud31 PE=4 SV=1 - [E0CX20_MOUSE],66.67%,2,12,12,71,144,17,8.82
Q9CQC6,Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus GN=Bzw1 PE=1 SV=1 - [BZW1_MOUSE],50.36%,5,25,30,153,419,48,5.92
Q8BGH7,CDC42 small effector protein 2 OS=Mus musculus GN=Cdc42se2 PE=1 SV=1 - [C42S2_MOUSE],66.67%,1,2,2,25,84,9.2,8.35
P62204,Calmodulin OS=Mus musculus GN=Calm1 PE=1 SV=2 - [CALM_MOUSE],59.73%,6,15,15,715,149,16.8,4.22
Q63810,Calcineurin subunit B type 1 OS=Mus musculus GN=Ppp3r1 PE=1 SV=3 - [CANB1_MOUSE],73.53%,2,9,9,25,170,19.3,4.81
P83917,Chromobox protein homolog 1 OS=Mus musculus GN=Cbx1 PE=1 SV=1 - [CBX1_MOUSE],61.62%,3,14,15,147,185,21.4,4.93
P60766,Cell division control protein 42 homolog OS=Mus musculus GN=Cdc42 PE=1 SV=2 - [CDC42_MOUSE],68.59%,7,16,17,271,191,21.2,6.55
Q8JZM7,Parafibromin OS=Mus musculus GN=Cdc73 PE=2 SV=1 - [CDC73_MOUSE],33.71%,1,18,18,36,531,60.5,9.61
P61924,Coatomer subunit zeta-1 OS=Mus musculus GN=Copz1 PE=2 SV=1 - [COPZ1_MOUSE],37.85%,1,7,7,55,177,20.2,4.81
P84086,Complexin-2 OS=Mus musculus GN=Cplx2 PE=1 SV=1 - [CPLX2_MOUSE],26.87%,2,2,2,5,134,15.4,5.08
P67871,Casein kinase II subunit beta OS=Mus musculus GN=Csnk2b PE=1 SV=1 - [CSK2B_MOUSE],47.91%,7,9,9,113,215,24.9,5.55
P61202,COP9 signalosome complex subunit 2 OS=Mus musculus GN=Cops2 PE=1 SV=1 - [CSN2_MOUSE],66.82%,2,28,28,183,443,51.6,5.53
